date_confirmed,delaware_cases,delaware_deaths,delaware_negative,newcastle_cases,newcastle_deaths,newcastle_negative,kent_cases,kent_deaths,kent_negative,sussex_cases,sussex_deaths,sussex_negative
2020-10-1,21065,653,253482,10914,326,147239,3148,118,33287,6927,209,57618
2020-10-10,22298,670,271873,11724,338,160124,3250,119,35177,7246,213,60352
2020-10-11,22458,674,275263,11816,341,162767,3269,119,35386,7295,214,60722
2020-10-12,22562,675,276586,11876,342,163610,3280,119,35546,7328,214,61001
2020-10-13,22633,676,277542,11916,343,164138,3285,119,35689,7354,214,61224
2020-10-14,22725,677,279184,11974,343,165257,3299,119,35899,7374,215,61449
2020-10-15,22889,680,281443,12079,346,166737,3313,119,36102,7419,215,61829
2020-10-16,23126,681,284446,12200,346,168472,3351,119,36429,7497,216,62628
2020-10-17,23270,684,287015,12292,349,170195,3362,119,36743,7538,216,63019
2020-10-18,23374,686,288589,12341,350,171132,3375,119,36920,7580,217,63405
2020-10-19,23488,689,290141,12406,350,172069,3391,119,37134,7613,220,63746
2020-10-2,21238,657,255392,11024,329,148421,3163,118,33501,6975,210,57980
2020-10-20,23546,692,290829,12449,351,172522,3393,120,37205,7626,221,63885
2020-10-21,23687,694,292221,12525,352,173316,3406,120,37410,7678,222,64204
2020-10-22,23855,698,294060,12621,352,174447,3425,120,37601,7731,226,64633
2020-10-23,24014,702,296000,12709,352,175564,3437,120,37823,7790,230,65155
2020-10-24,24136,706,297892,12779,355,176846,3453,120,38033,7826,231,65460
2020-10-25,24339,712,300357,12905,358,178497,3476,120,38316,7880,234,65900
2020-10-26,24425,713,301324,12946,359,179028,3493,120,38490,7908,234,66131
2020-10-27,24559,713,302939,13021,359,180018,3511,120,38643,7949,234,66489
2020-10-28,24717,717,304275,13114,361,180826,3535,120,38763,7990,236,66749
2020-10-29,24908,724,306155,13200,364,181969,3568,121,38991,8062,239,67153
2020-10-3,21358,659,256849,11097,330,149256,3177,118,33713,7008,211,58318
2020-10-30,25107,725,308135,13313,364,183295,3593,121,39183,8123,240,67540
2020-10-31,25292,729,309577,13388,365,184001,3633,121,39432,8193,243,67941
2020-10-4,21513,660,259036,11210,331,150656,3186,118,33964,7040,211,58740
2020-10-5,21600,662,259959,11265,333,151224,3192,118,34099,7066,211,58903
2020-10-6,21729,662,261801,11343,333,152537,3205,118,34261,7104,211,59179
2020-10-7,21829,665,263561,11413,335,153929,3208,119,34329,7131,211,59401
2020-10-8,21986,667,266173,11522,336,155961,3215,119,34553,7172,212,59657
2020-10-9,22166,669,269180,11638,337,158092,3237,119,34932,7213,213,60017
2020-11-1,25476,732,311661,13523,368,185490,3641,121,39601,8234,243,68279
2020-11-10,27496,750,325691,14793,377,194067,3894,122,41483,8730,251,71056
2020-11-11,27694,752,327103,14918,377,194798,3918,122,41693,8779,253,71387
2020-11-12,28159,754,329653,15228,378,196497,3971,122,41919,8881,254,71888
2020-11-13,28540,757,331482,15456,379,197541,4044,122,42245,8959,256,72254
2020-11-14,28943,758,333577,15741,379,198836,4061,122,42468,9060,257,72721
2020-11-15,29346,761,336289,15983,380,200353,4119,122,42844,9163,259,73402
2020-11-16,29707,765,338553,16247,381,201845,4160,122,43109,9219,262,73783
2020-11-17,29928,768,339564,16373,383,202383,4194,123,43285,9280,262,74007
2020-11-18,30326,770,341556,16614,384,203521,4253,123,43572,9377,263,74408
2020-11-19,30971,772,345201,17018,384,205621,4352,125,44064,9519,263,75207
2020-11-2,25577,733,312546,13576,368,185994,3653,122,39705,8270,243,68517
2020-11-20,31491,774,348420,17389,384,207722,4407,125,44376,9613,265,75807
2020-11-21,31984,776,351470,17720,384,209325,4470,125,44898,9712,267,76533
2020-11-22,32356,780,353540,17941,386,210496,4521,127,45137,9811,267,77090
2020-11-23,32798,786,356502,18232,389,212461,4583,129,45456,9896,268,77621
2020-11-24,33101,790,358655,18448,392,213925,4624,130,45642,9942,268,77991
2020-11-25,33685,792,361924,18801,392,215604,4705,130,45946,10090,270,79040
2020-11-26,34257,795,365056,19179,393,217347,4801,131,46434,10188,271,79706
2020-11-27,34762,798,367809,19508,394,218989,4903,131,46832,10262,273,80085
2020-11-28,35364,801,370497,19895,396,220804,4981,132,47069,10397,273,80563
2020-11-29,35772,804,372103,20114,397,221595,5111,133,47479,10456,274,80861
2020-11-3,25694,737,313428,13632,368,186488,3662,122,39840,8322,247,68736
2020-11-30,36443,807,374503,20584,398,223133,5204,133,47755,10563,276,81268
2020-11-4,25911,737,314944,13761,368,187284,3705,122,40056,8367,247,69132
2020-11-5,26205,739,317150,13955,370,188759,3738,122,40283,8434,247,69494
