date_confirmed,delaware_cases,delaware_deaths,delaware_negative,newcastle_cases,newcastle_deaths,newcastle_negative,kent_cases,kent_deaths,kent_negative,sussex_cases,sussex_deaths,sussex_negative,delaware_tests
2020-10-1,21064,653,253084,10915,326,147010,3147,118,33229,6926,209,57527,274148
2020-10-10,22297,670,271452,11725,338,159883,3249,119,35112,7245,213,60258,293749
2020-10-11,22457,674,274834,11817,341,162521,3268,119,35320,7294,214,60627,297291
2020-10-12,22561,675,276151,11877,342,163360,3279,119,35478,7327,214,60906,298712
2020-10-13,22632,676,277105,11917,343,163886,3284,119,35621,7353,214,61129,299737
2020-10-14,22724,677,278745,11975,343,165003,3298,119,35831,7373,215,61354,301469
2020-10-15,22888,680,281000,12080,346,166481,3312,119,36034,7418,215,61733,303888
2020-10-16,23125,681,283998,12201,346,168215,3350,119,36360,7496,216,62529,307123
2020-10-17,23269,684,286566,12293,349,169937,3361,119,36674,7537,216,62920,309835
2020-10-18,23373,686,288140,12342,350,170874,3374,119,36851,7579,217,63306,311513
2020-10-19,23487,689,289691,12407,350,171810,3390,119,37065,7612,220,63647,313178
2020-10-2,21237,657,254992,11025,329,148190,3162,118,33443,6974,210,57889,276229
2020-10-20,23545,692,290377,12450,351,172263,3392,120,37136,7625,221,63784,313922
2020-10-21,23686,694,291768,12526,352,173057,3405,120,37341,7677,222,64102,315454
2020-10-22,23854,698,293599,12622,352,174182,3424,120,37532,7730,226,64530,317453
2020-10-23,24013,702,295534,12710,352,175298,3436,120,37754,7789,230,65048,319547
2020-10-24,24135,706,297424,12780,355,176579,3452,120,37964,7825,231,65353,321559
2020-10-25,24338,712,299882,12906,358,178228,3475,120,38247,7879,234,65788,324220
2020-10-26,24424,713,300849,12947,359,178759,3492,120,38421,7907,234,66019,325273
2020-10-27,24558,713,302461,13022,359,179748,3510,120,38574,7948,234,66375,327019
2020-10-28,24716,717,303796,13115,361,180555,3534,120,38694,7989,236,66635,328512
2020-10-29,24907,724,305672,13201,364,181695,3567,121,38921,8061,239,67039,330579
2020-10-3,21357,659,256447,11098,330,149023,3176,118,33655,7007,211,58227,277804
2020-10-30,25106,725,307647,13314,364,183018,3592,121,39112,8122,240,67425,332753
2020-10-31,25291,729,309088,13389,365,183724,3632,121,39361,8192,243,67825,334379
2020-10-4,21512,660,258632,11211,331,150423,3185,118,33905,7039,211,58648,280144
2020-10-5,21599,662,259554,11266,333,150991,3191,118,34040,7065,211,58810,281153
2020-10-6,21728,662,261392,11344,333,152301,3204,118,34201,7103,211,59086,283120
2020-10-7,21828,665,263150,11414,335,153692,3207,119,34269,7130,211,59308,284978
2020-10-8,21985,667,265760,11523,336,155724,3214,119,34491,7171,212,59564,287745
2020-10-9,22165,669,268761,11639,337,157853,3236,119,34867,7212,213,59923,290926
2020-11-1,25475,732,311167,13524,368,185211,3640,121,39530,8233,243,68160,336642
2020-11-10,27495,750,325176,14794,377,193774,3893,122,41409,8729,251,70934,352671
2020-11-11,27693,752,326585,14919,377,194505,3917,122,41619,8778,253,71262,354278
2020-11-12,28158,754,329133,15229,378,196204,3970,122,41845,8880,254,71761,357291
2020-11-13,28539,757,330957,15457,379,197246,4043,122,42171,8958,256,72124,359496
2020-11-14,28942,758,333046,15742,379,198537,4060,122,42394,9059,257,72589,361988
2020-11-15,29345,761,335746,15984,380,200044,4118,122,42769,9162,259,73269,365091
2020-11-16,29707,765,338008,16249,381,201534,4159,122,43034,9218,262,73650,367715
2020-11-17,29928,768,339019,16375,383,202072,4193,123,43210,9279,262,73874,368947
2020-11-18,30326,770,341009,16616,384,203209,4252,123,43497,9376,263,74274,371335
2020-11-19,30971,772,344652,17020,384,205307,4351,125,43989,9518,263,75073,375623
2020-11-2,25576,733,312051,13577,368,185714,3652,122,39634,8269,243,68398,337627
2020-11-20,31490,774,347860,17391,384,207402,4405,125,44299,9612,265,75670,379350
2020-11-21,31983,776,350903,17722,384,209004,4468,125,44819,9711,267,76392,382886
2020-11-22,32355,780,352965,17943,386,210170,4519,127,45056,9810,267,76948,385320
2020-11-23,32797,786,355920,18234,389,212131,4581,129,45375,9895,268,77476,388717
2020-11-24,33101,790,358069,18451,392,213592,4622,130,45560,9941,268,77846,391170
2020-11-25,33685,792,361335,18804,392,215270,4703,130,45863,10089,270,78894,395020
2020-11-26,34257,795,364462,19182,393,217009,4799,131,46350,10187,271,79560,398719
2020-11-27,34762,798,367211,19511,394,218647,4901,131,46748,10261,273,79939,401973
2020-11-28,35364,801,369889,19898,396,220458,4979,132,46982,10396,273,80416,405253
2020-11-29,35772,804,371494,20117,397,221249,5109,133,47391,10455,274,80714,407266
2020-11-3,25693,737,312932,13633,368,186207,3661,122,39769,8321,247,68617,338625
2020-11-30,36443,807,373891,20587,398,222785,5202,133,47666,10562,276,81121,410334
2020-11-4,25910,737,314446,13762,368,187003,3704,122,39984,8366,247,69012,340356
2020-11-5,26204,739,316648,13956,370,188475,3737,122,40210,8433,247,69374,342852
2020-11-6,26422,741,318484,14100,371,189568,3758,122,40555,8486,248,69684,344906
2020-11-7,26734,744,320479,14316,373,190757,3794,122,40860,8545,249,70071,347213
2020-11-8,27051,745,322508,14536,374,192142,3825,122,41091,8611,249,70384,349559
2020-11-9,27255,747,323874,14669,374,193078,3841,122,41181,8666,251,70658,351129
2020-12-1,36801,811,374925,20786,401,223340,5297,134,47901,10626,276,81319,411726
2020-12-10,43808,852,397552,25122,418,236670,6692,151,51216,11892,283,85700,441360
2020-12-11,44877,856,401138,25793,419,238890,6889,152,51632,12087,285,86403,446015
2020-12-12,45475,862,403436,26119,423,240042,6979,153,51989,12267,286,87024,448911
2020-12-13,46471,871,406801,26681,428,241788,7168,154,52589,12509,289,87814,453272
2020-12-14,47162,877,409082,27133,431,243265,7276,155,52834,12637,291,88187,456244
2020-12-15,47948,884,411859,27633,434,244880,7428,158,53348,12769,292,88655,459807
2020-12-16,48782,893,414490,28112,440,246216,7586,160,53787,12965,293,89312,463272
2020-12-17,49112,898,415689,28268,442,246847,7658,162,53952,13066,294,89626,464801
2020-12-18,50145,904,418978,28902,445,248777,7813,164,54355,13308,295,90400,469123
2020-12-19,50629,911,420728,29156,450,249630,7894,164,54596,13456,297,90967,471357
2020-12-2,37581,814,377444,21310,404,224837,5422,134,48239,10757,276,81754,415025
2020-12-20,51084,921,422488,29334,457,250285,8013,164,54991,13614,300,91505,473572
2020-12-21,51653,926,424314,29682,460,251333,8117,166,55304,13729,300,91852,475967
2020-12-22,52243,933,425925,30084,464,252353,8227,168,55565,13807,301,92126,478168
2020-12-23,53032,941,428859,30562,468,254021,8333,171,55892,14011,302,92873,481891
2020-12-24,53667,948,431274,30994,472,255559,8427,173,56143,14120,303,93416,484941
2020-12-25,54471,955,434104,31382,473,256854,8655,174,56591,14307,308,94260,488575
2020-12-26,55030,962,436062,31695,477,257900,8762,176,56929,14442,309,94724,491092
2020-12-27,55461,973,437461,31963,487,258860,8828,177,57032,14537,309,94987,492922
2020-12-28,56157,980,439199,32418,489,259967,8933,180,57238,14670,311,95306,495356
2020-12-29,56565,986,440619,32680,492,260892,9007,182,57413,14742,312,95603,497184
2020-12-3,38504,819,380056,21840,407,226350,5661,135,48693,10910,277,82202,418560
2020-12-30,57435,993,442771,33212,495,262157,9157,183,57714,14925,315,96105,500206
2020-12-31,58053,997,444231,33444,496,262904,9310,183,57930,15158,318,96551,502284
2020-12-4,39192,821,382135,22284,408,227646,5798,135,48959,11016,278,82585,421327
