date_confirmed,delaware_delivered,delaware_administered
2020-12-16,975,0
2020-12-17,8775,89
2020-12-18,8775,99
2020-12-19,12125,442
2020-12-20,12125,1935
2020-12-21,12125,3025
2020-12-22,12125,4369
2020-12-23,14500,5162
2020-12-24,28400,6999
2020-12-25,28400,7467
2020-12-26,28400,7467
2020-12-27,28400,7906
2020-12-28,28400,9150
2020-12-29,28400,11371
2020-12-30,34200,14295
2020-12-31,42975,13419
2021-01-01,42975,14295
2021-01-02,42975,14341
2021-01-03,44925,15018
2021-01-04,44925,15329
2021-01-05,50725,16325
2021-01-06,53650,18797
2021-01-07,53650,20584
2021-01-08,53650,23968
2021-01-09,53650,27096
2021-01-10,53650,28297
2021-01-11,53650,28409
2021-01-12,58950,30997
2021-01-13,75050,34420
2021-01-14,77600,36667
2021-01-15,77600,38529
2021-01-16,77600,41436
2021-01-17,77600,45118
2021-01-18,77600,49043
2021-01-19,77600,55044
2021-01-20,86925,57322
2021-01-21,89525,60749
2021-01-22,96325,64463
2021-01-23,96325,68038
2021-01-24,96325,73527
2021-01-25,96325,76773
2021-01-26,109250,77924
2021-01-27,120850,82699
2021-01-28,120850,87511
2021-01-29,120850,92552
2021-01-30,120850,100678
2021-01-31,120850,103258
2021-02-01,120850,103791
2021-02-02,120850,107597
2021-02-03,131775,110707
2021-02-04,138600,113592
2021-02-05,138600,117662
2021-02-06,138600,122556
2021-02-07,138600,125756
2021-02-08,138600,126615
2021-02-09,138600,126615
2021-02-10,138600,129156
2021-02-11,156200,132342
