date_confirmed,delaware_administered
2020-12-14,0
2020-12-15,89
2020-12-16,99
2020-12-17,443
2020-12-18,1951
2020-12-19,3070
2020-12-20,3083
2020-12-21,4433
2020-12-22,5221
2020-12-23,7043
2020-12-24,7517
2020-12-25,7517
2020-12-26,7985
2020-12-27,7985
2020-12-28,9286
2020-12-29,11578
2020-12-30,13650
2020-12-31,14558
2021-01-01,14599
2021-01-02,15288
2021-01-03,15526
2021-01-04,16637
2021-01-05,19198
2021-01-06,21046
2021-01-07,24509
2021-01-08,27673
2021-01-09,28912
2021-01-10,29028
2021-01-11,31626
2021-01-12,35117
2021-01-13,37392
2021-01-14,39317
2021-01-15,42371
2021-01-16,46147
2021-01-17,50106
2021-01-18,56393
2021-01-19,58751
2021-01-20,62355
2021-01-21,66291
2021-01-22,71652
2021-01-23,79511
2021-01-24,86879
2021-01-25,90199
2021-01-26,94328
2021-01-27,98146
2021-01-28,102940
2021-01-29,107464
2021-01-30,112130
2021-01-31,113046
2021-02-01,115104
2021-02-02,118544
2021-02-03,121852
2021-02-04,125947
2021-02-05,131456
2021-02-06,134319
2021-02-07,134658
2021-02-08,137584
2021-02-09,141440
2021-02-10,146214
2021-02-11,151101
2021-02-12,156679
2021-02-13,161415
2021-02-14,161749
2021-02-15,164400
2021-02-16,169413
2021-02-17,175005
2021-02-18,177981
2021-02-19,183200
2021-02-20,186606
2021-02-21,190054
2021-02-22,195105
2021-02-23,202799
2021-02-24,213737
2021-02-25,224937
2021-02-26,234338
2021-02-27,241215
2021-02-28,242619
2021-03-01,247303
2021-03-02,252660
2021-03-03,259241
2021-03-04,266696
2021-03-05,275234
2021-03-06,280753
2021-03-07,286633
2021-03-08,291321
2021-03-09,298063
2021-03-10,306475
2021-03-11,314768
2021-03-12,324520
2021-03-13,333460
2021-03-14,339215
2021-03-15,344441
2021-03-16,350724
2021-03-17,358381
2021-03-18,367188
2021-03-19,381077
2021-03-20,389724
2021-03-21,395358
2021-03-22,401296
2021-03-23,408724
2021-03-24,418311
2021-03-25,427549
2021-03-26,439651
2021-03-27,449735
2021-03-28,456052
2021-03-29,463668
2021-03-30,473481
2021-03-31,484244
2021-04-01,496098
2021-04-02,509632
2021-04-03,516770
2021-04-04,518489
2021-04-05,526124
2021-04-06,536247
2021-04-07,547436
2021-04-08,558722
2021-04-09,572207
2021-04-10,577493
2021-04-11,581365
2021-04-12,587767
2021-04-13,591845
2021-04-14,591853
2020-03-08,591853
2020-03-09,591853
2020-03-10,591853
2020-03-11,591853
2020-03-12,591853
2020-03-13,591853
2020-03-14,591853
2020-03-15,591853
2020-03-16,591853
2020-03-17,591853
2020-03-18,591853
2020-03-19,591853
2020-03-20,591853
2020-03-21,591853
2020-03-22,591853
2020-03-23,591853
2020-03-24,591853
2020-03-25,591853
2020-03-26,591853
2020-03-27,591853
2020-03-28,591853
2020-03-29,591853
2020-03-30,591853
2020-03-31,591853
2020-04-01,591853
2020-04-02,591853
2020-04-03,591853
2020-04-04,591853
2020-04-05,591853
2020-04-06,591853
2020-04-07,591853
2020-04-08,591853
2020-04-09,591853
2020-04-10,591853
2020-04-11,591853
2020-04-12,591853
2020-04-13,591853
2020-04-14,591853
2020-04-15,591853
2020-04-16,591853
2020-04-17,591853
2020-04-18,591853
2020-04-19,591853
2020-04-20,591853
2020-04-21,591853
2020-04-22,591853
2020-04-23,591853
2020-04-24,591853
2020-04-25,591853
2020-04-26,591853
2020-04-27,591853
2020-04-28,591853
2020-04-29,591853
2020-04-30,591853
2020-05-01,591853
2020-05-02,591853
2020-05-03,591853
2020-05-04,591853
2020-05-05,591853
2020-05-06,591853
2020-05-07,591853
2020-05-08,591853
