date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,delaware_positiveTests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,newcastle_positiveTests,kent_cases,kent_deaths,kent_negative,kent_tests,kent_positiveTests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests,sussex_positiveTests
2020-10-1,21067,655,245062,1935,110,10919,327,141720,1175,73,3141,118,32172,279,NA,6930,210,56322,282,22
2020-10-10,22306,672,262775,2728,128,11734,339,154085,2041,81,3243,119,34006,250,NA,7250,214,58983,356,37
2020-10-11,22465,676,266045,3429,129,11825,342,156632,2638,81,3262,119,34207,220,NA,7299,215,59343,409,34
2020-10-12,22568,677,267306,1364,56,11884,343,157435,862,29,3273,119,34359,163,NA,7332,215,59612,302,22
2020-10-13,22639,678,268228,993,108,11924,344,157942,547,53,3278,119,34495,141,17,7358,215,59831,245,32
2020-10-14,22730,679,269815,1678,162,11982,344,159020,1136,108,3291,119,34696,214,NA,7378,216,60052,241,38
2020-10-15,22894,683,271972,2321,131,12087,348,160430,1515,74,3306,119,34889,208,17,7422,216,60419,411,36
2020-10-16,23133,684,274862,3129,181,12210,348,162091,1784,118,3344,119,35203,352,13,7500,217,61196,855,50
2020-10-17,23280,687,277353,2638,50,12303,351,163761,1763,25,3356,119,35507,316,NA,7542,217,61575,421,16
2020-10-18,23384,689,278884,1635,113,12352,352,164671,959,56,3369,119,35679,185,NA,7584,218,61951,418,45
2020-10-19,23498,693,280367,1597,81,12417,353,165565,959,46,3385,119,35884,221,NA,7617,221,62276,358,24
2020-10-2,21241,659,246899,2011,156,11030,330,142853,1244,128,3156,118,32379,222,NA,6978,211,56672,398,21
2020-10-20,23556,696,281031,722,105,12460,354,166002,480,68,3387,120,35954,72,NA,7630,222,62408,145,29
2020-10-21,23697,698,282379,1489,145,12536,355,166771,845,92,3400,120,36154,213,12,7682,223,62717,361,38
2020-10-22,23866,702,284143,1933,147,12633,355,167858,1184,82,3419,120,36340,205,NA,7735,227,63125,461,52
2020-10-23,24025,706,285996,2012,179,12721,355,168913,1143,85,3431,120,36553,225,23,7794,231,63632,566,62
2020-10-24,24148,710,287827,1954,123,12791,358,170152,1309,75,3447,120,36756,219,NA,7831,232,63931,336,32
2020-10-25,24351,717,290200,2576,96,12917,362,171738,1712,54,3470,120,37029,296,11,7885,235,64358,481,30
2020-10-26,24437,718,291134,1020,69,12958,363,172252,555,30,3487,120,37195,183,NA,7913,235,64582,252,28
2020-10-27,24572,718,292694,1695,151,13034,363,173205,1029,110,3505,120,37345,168,15,7954,235,64928,387,22
2020-10-28,24730,722,293966,1430,177,13127,365,173971,859,102,3529,120,37457,136,22,7995,237,65179,292,44
2020-10-29,24921,730,295786,2011,177,13214,369,175071,1187,92,3562,121,37678,254,23,8066,240,65577,469,51
2020-10-3,21363,661,248317,1540,101,11105,331,143659,881,57,3170,118,32588,223,NA,7011,212,57005,366,34
2020-10-30,25120,732,297685,2098,160,13327,369,176344,1386,79,3587,122,37863,210,15,8127,241,65947,431,58
2020-10-31,25306,736,299081,1582,126,13403,370,177028,760,73,3627,122,38106,283,12,8197,244,66334,457,36
2020-10-4,21520,662,250415,2255,92,11220,332,144989,1445,70,3179,118,32833,254,NA,7043,212,57419,446,15
2020-10-5,21607,664,251303,975,78,11275,334,145532,598,45,3185,118,32963,136,14,7069,212,57580,187,17
2020-10-6,21737,664,253070,1897,103,11353,334,146791,1337,71,3198,118,33120,170,NA,7108,212,57843,302,22
2020-10-7,21836,667,254759,1788,124,11422,336,148121,1399,89,3201,119,33184,67,NA,7135,212,58063,247,23
2020-10-8,21993,669,257273,2671,185,11531,337,150075,2063,133,3208,119,33399,222,NA,7176,213,58311,289,34
2020-10-9,22174,671,260179,3087,133,11648,338,152130,2172,74,3230,119,33769,392,NA,7217,214,58660,390,47
2020-11-1,25491,739,301075,2179,113,13539,373,178458,1566,77,3635,122,38264,166,NA,8238,244,66655,362,29
2020-11-10,27515,759,314645,1504,220,14812,384,186729,796,133,3890,123,40079,275,28,8732,252,69364,333,51
2020-11-11,27712,761,316007,1559,447,14936,384,187430,825,318,3914,123,40288,233,22,8781,254,69682,367,79
2020-11-12,28175,763,318469,2925,304,15245,385,189065,1944,155,3966,123,40505,269,62,8883,255,70170,590,66
2020-11-13,28556,766,320215,2127,442,15473,386,190049,1212,319,4039,123,40821,389,27,8961,257,70525,433,87
2020-11-14,28958,767,322241,2428,232,15756,386,191292,1526,131,4056,123,41039,235,25,9063,258,70983,560,71
2020-11-15,29360,770,324866,3027,429,15998,387,192750,1700,313,4113,123,41402,420,33,9166,260,71655,775,70
2020-11-16,29723,774,327065,2562,189,16261,388,194200,1713,122,4154,123,41658,297,20,9225,263,72027,431,37
2020-11-17,29945,777,328053,1210,396,16388,390,194721,648,255,4188,124,41829,205,49,9286,263,72250,284,76
2020-11-18,30339,780,329975,2316,578,16628,392,195809,1328,364,4245,124,42107,335,57,9382,264,72643,489,122
2020-11-19,30983,783,333486,4155,456,17031,393,197830,2424,308,4344,126,42582,574,41,9524,264,73421,920,87
2020-11-2,25592,741,301935,961,81,13592,374,178947,542,55,3647,123,38366,114,NA,8274,244,66887,268,17
2020-11-20,31502,785,336559,3592,444,17402,393,199825,2366,254,4398,126,42878,350,74,9618,266,74003,676,91
2020-11-21,31999,787,339524,3462,396,17736,393,201381,1890,243,4461,126,43379,564,65,9718,268,74718,815,72
2020-11-22,32386,791,341593,2456,346,17967,395,202542,1392,227,4513,128,43625,298,27,9821,268,75271,656,70
2020-11-23,32833,797,344496,3350,430,18262,398,204466,2219,297,4575,130,43930,367,57,9907,269,75798,613,55
2020-11-24,33147,801,346613,2431,316,18486,401,205903,1661,231,4616,131,44111,222,27,9956,269,76165,416,48
2020-11-25,33736,803,349811,3787,642,18841,401,207547,1999,359,4697,131,44402,372,103,10107,271,77192,1178,154
2020-11-26,34313,806,352842,3608,506,19224,402,209232,2068,297,4792,132,44873,566,88,10206,272,77844,751,93
2020-11-27,34824,811,355486,3155,833,19558,404,210800,1902,545,4894,133,45256,485,126,10280,274,78212,442,131
2020-11-28,35434,814,358119,3243,351,19951,406,212562,2155,187,4973,134,45490,313,65,10416,274,78694,618,86
2020-11-29,35856,818,359721,2024,467,20179,408,213350,1016,310,5103,135,45903,543,53,10479,275,78987,356,94
2020-11-3,25709,745,302789,971,167,13648,374,179425,534,94,3656,123,38497,140,20,8326,248,67098,263,41
2020-11-30,36538,821,362064,3025,790,20654,409,214848,1973,588,5196,135,46165,355,78,10592,277,79395,521,94
2020-11-4,25929,746,304256,1687,223,13778,375,180197,902,141,3701,123,38699,247,31,8371,248,67485,432,38
2020-11-5,26224,748,306394,2433,207,13974,377,181622,1621,140,3734,123,38919,253,13,8437,248,67838,419,45
2020-11-6,26441,750,308167,1990,303,14118,378,182672,1194,170,3755,123,39251,353,40,8489,249,68142,356,80
2020-11-7,26755,753,310092,2239,243,14334,380,183814,1358,163,3792,123,39545,331,15,8548,250,68520,437,52
2020-11-8,27069,754,312048,2270,223,14550,381,185146,1548,148,3823,123,39767,253,11,8615,250,68826,373,61
2020-11-9,27275,756,313381,1539,148,14686,381,186059,1049,95,3839,123,39855,104,16,8669,252,69094,322,35
2020-12-1,36906,827,363063,1367,563,20858,413,215381,737,359,5291,137,46393,323,94,10661,277,79588,262,92
2020-12-10,44065,881,385227,3241,784,25296,442,228448,1660,471,6717,155,49620,523,145,11945,284,83873,839,140
2020-12-11,45155,886,388712,4575,1038,25986,444,230613,2855,627,6914,156,50022,599,153,12142,286,84551,875,209
2020-12-12,45773,893,390986,2892,772,26323,449,231751,1475,478,7009,157,50371,444,84,12326,287,85168,801,192
2020-12-13,46815,906,394348,4404,949,26912,458,233512,2350,551,7203,158,50953,776,176,12582,290,85950,1038,182
2020-12-14,47533,913,396669,3039,1064,27385,462,235029,1990,724,7313,159,51189,346,135,12714,292,86331,513,174
2020-12-15,48379,920,399533,3710,1057,27928,465,236707,2221,678,7470,162,51704,672,204,12858,293,86814,627,137
2020-12-16,49257,933,402250,3595,626,28441,473,238101,1907,304,7630,165,52157,613,108,13062,295,87480,870,192
2020-12-17,49612,940,403507,1612,916,28616,477,238780,854,553,7706,167,52326,245,184,13165,296,87800,423,155
2020-12-18,50659,947,406725,4265,835,29263,481,240666,2533,424,7862,169,52718,548,156,13407,297,88561,1003,230
2020-12-19,51160,960,408449,2225,419,29529,489,241513,1113,194,7945,171,52955,320,99,13558,300,89114,704,110
2020-12-2,37695,830,365502,3228,847,21387,416,216835,1983,469,5418,137,46723,457,165,10793,277,80007,551,161
2020-12-20,51638,974,410192,2221,380,29727,499,242174,859,190,8064,172,53343,507,76,13719,303,89640,687,97
2020-12-21,52230,981,411988,2388,867,30095,503,243212,1406,569,8173,175,53645,411,115,13832,303,89983,456,158
2020-12-22,52860,989,413601,2243,678,30524,508,244232,1449,370,8294,177,53917,393,105,13912,304,90252,349,176
2020-12-23,53666,999,416524,3729,880,31012,513,245900,2156,629,8404,181,54241,434,100,14119,305,90992,947,129
2020-12-24,54314,1009,418877,3001,606,31456,518,247397,1941,350,8496,184,54487,338,94,14231,307,91520,640,145
2020-12-25,55145,1021,421692,3646,716,31858,524,248691,1696,408,8732,185,54938,687,135,14423,312,92344,1016,150
2020-12-26,55739,1032,423647,2549,768,32193,531,249749,1393,466,8842,188,55266,438,96,14568,313,92797,598,187
2020-12-27,56217,1048,425078,1909,503,32490,545,250741,1289,340,8919,190,55376,187,57,14670,313,93054,359,85
2020-12-28,56941,1059,426845,2491,794,32969,549,251868,1606,438,9029,193,55592,326,153,14802,317,93371,449,180
2020-12-29,57358,1066,428227,1799,663,33237,552,252766,1166,439,9105,196,55759,243,87,14875,318,93665,367,123
2020-12-3,38623,836,368028,3454,1056,21921,420,218291,1990,593,5658,138,47158,675,243,10946,278,80448,594,182
2020-12-30,58241,1074,430350,3006,690,33785,556,254005,1787,313,9255,197,56058,449,162,15056,321,94162,678,198
2020-12-31,58867,1085,431775,2051,482,34022,562,254725,957,244,9409,199,56271,367,80,15291,324,94604,677,140
2020-12-4,39319,840,370041,2709,958,22372,423,219539,1699,568,5793,138,47412,389,172,11055,279,80824,485,198
2020-12-5,40123,846,372565,3328,712,22861,427,220947,1897,401,5960,139,47762,517,124,11202,280,81454,777,164
2020-12-6,40953,853,375654,3919,513,23289,430,222469,1950,270,6171,143,48436,885,118,11393,280,82079,816,101
2020-12-7,41684,858,377983,3060,849,23728,432,223940,1910,600,6315,146,48743,451,59,11540,280,82513,581,166
2020-12-8,42624,861,380607,3564,803,24413,434,225810,2555,547,6451,147,48994,387,114,11658,280,82869,474,120
2020-12-9,43270,874,382781,2820,912,24877,438,227207,1861,537,6548,153,49266,369,152,11739,283,83240,452,183
2020-3-10,19,0,18,4,0,12,0,11,NA,0,0,0,NA,0,0,0,0,NA,NA,0
2020-3-11,23,0,22,8,0,13,0,12,NA,0,0,0,NA,0,0,NA,0,NA,NA,0
2020-3-12,23,0,32,10,0,13,0,19,NA,0,0,0,NA,0,0,NA,0,NA,NA,0
2020-3-13,24,0,51,20,0,14,0,29,11,0,0,0,NA,NA,0,NA,0,18,NA,0
2020-3-14,24,0,70,19,2,14,0,41,12,NA,0,0,NA,NA,0,NA,0,21,NA,0
2020-3-15,27,0,86,19,0,14,0,51,11,0,NA,0,11,NA,0,NA,0,24,NA,0
2020-3-16,28,0,104,19,15,15,0,58,NA,NA,NA,0,16,NA,NA,NA,0,30,NA,NA
2020-3-17,32,0,142,42,5,18,0,82,27,NA,NA,0,24,11,0,NA,0,36,NA,NA
2020-3-18,43,0,199,68,4,26,0,90,16,NA,NA,0,28,NA,0,NA,0,81,47,0
2020-3-19,56,0,458,272,11,33,0,164,81,NA,NA,0,55,30,NA,13,0,234,156,NA
2020-3-20,64,0,545,95,5,37,0,211,51,NA,NA,0,68,13,0,17,0,261,31,NA
2020-3-21,71,0,607,69,26,42,0,246,40,NA,NA,0,76,NA,NA,19,0,279,20,19
