date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-10-29,19701,5643,1431.1,49,10.9
2021-10-29,19702,7882,1427.5,60,16.7
2021-10-29,19703,2136,1477.9,18,11.4
2021-10-29,19706,NA,NA,NA,NA
2021-10-29,19707,1884,1334.5,49,17.2
2021-10-29,19709,6908,1706.2,60,16.4
2021-10-29,19711,7280,1254,74,12
2021-10-29,19713,4629,1575.8,74,17.7
2021-10-29,19716,NA,NA,NA,NA
2021-10-29,19717,380,417.9,0,0
2021-10-29,19720,10379,1766.3,108,17.3
2021-10-29,19730,NA,NA,NA,NA
2021-10-29,19731,NA,NA,NA,NA
2021-10-29,19732,NA,NA,NA,NA
2021-10-29,19733,NA,NA,NA,NA
2021-10-29,19734,2175,1841.9,20,19.6
2021-10-29,19736,NA,NA,NA,NA
2021-10-29,19801,3052,1808.8,24,24.4
2021-10-29,19802,4034,1613.1,42,14.4
2021-10-29,19803,2590,1369.3,80,17
2021-10-29,19804,2949,1741.1,39,16.4
2021-10-29,19805,7084,1881.9,83,25.7
2021-10-29,19806,1216,1280.7,41,23.7
2021-10-29,19807,900,1524.7,12,6.3
2021-10-29,19808,5190,1427.6,84,15.1
2021-10-29,19809,1683,1141.1,29,17.6
2021-10-29,19810,2558,1077.3,47,10.5
2021-10-29,19901,5024,1388.4,88,21.2
2021-10-29,19902,NA,NA,NA,NA
2021-10-29,19904,5468,1498,140,30.2
2021-10-29,19930,NA,NA,NA,NA
2021-10-29,19931,NA,NA,NA,NA
2021-10-29,19933,1576,1584.7,31,30.9
2021-10-29,19934,1805,1383.2,24,12.8
2021-10-29,19938,1457,1747.2,14,14.3
2021-10-29,19939,997,1510.8,12,8.1
2021-10-29,19940,1055,1986.4,NA,NA
2021-10-29,19941,468,1759,NA,NA
2021-10-29,19943,1809,1448.9,22,14.2
2021-10-29,19944,NA,NA,NA,NA
2021-10-29,19945,1227,2246.6,NA,NA
2021-10-29,19946,743,1512,NA,NA
2021-10-29,19947,4154,2217.1,59,28
2021-10-29,19950,1157,1652.1,31,26.3
2021-10-29,19951,NA,NA,NA,NA
2021-10-29,19952,1541,1667,20,13.5
2021-10-29,19953,540,1324.5,NA,NA
2021-10-29,19954,NA,NA,NA,NA
2021-10-29,19956,2857,1999.1,39,23.3
2021-10-29,19958,3075,1508.3,88,14.6
2021-10-29,19960,1163,1892.6,12,13.8
2021-10-29,19962,1902,1697.3,13,7.8
2021-10-29,19963,3234,1623.5,89,28.9
2021-10-29,19964,NA,NA,NA,NA
2021-10-29,19966,4476,1725.4,91,18.1
2021-10-29,19967,NA,NA,NA,NA
2021-10-29,19968,1436,1435.6,17,11.9
2021-10-29,19970,962,1480.9,NA,NA
2021-10-29,19971,1797,1912,35,10.1
2021-10-29,19973,4461,1880,83,24
2021-10-29,19975,1419,1837.9,15,6.2
2021-10-29,19977,4607,1823.9,82,28.7
2021-10-29,19979,NA,NA,NA,NA
