date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21061,669,234313,1834,10920,334,135880,1127,3137,119,30429,255,6926,216,53879,275
2020-10-10,22307,686,251170,2595,11740,346,147680,1943,3239,120,32136,230,7248,220,56424,346
2020-10-11,22469,691,254298,3290,11834,350,150117,2531,3258,120,32327,210,7297,221,56769,394
2020-10-12,22572,692,255501,1306,11893,351,150877,819,3269,120,32472,156,7330,221,57031,295
2020-10-13,22643,694,256379,949,11933,352,151366,529,3274,120,32599,132,7356,222,57239,234
2020-10-14,22733,695,257873,1584,11990,352,152384,1075,3287,120,32786,200,7376,223,57447,228
2020-10-15,22898,699,259911,2203,12095,356,153712,1433,3302,120,32965,194,7421,223,57799,397
2020-10-16,23135,700,262672,2998,12218,356,155304,1715,3339,120,33257,329,7498,224,58545,823
2020-10-17,23281,703,265061,2535,12311,359,156911,1700,3351,120,33549,304,7539,224,58906,402
2020-10-18,23388,705,266507,1553,12363,360,157776,917,3364,120,33705,169,7581,225,59261,397
2020-10-19,23502,710,267931,1538,12428,361,158641,930,3380,120,33894,205,7614,229,59576,348
2020-10-2,21235,673,236059,1920,11031,337,136965,1196,3151,119,30620,205,6975,217,54213,383
2020-10-20,23563,714,268568,698,12474,363,159058,463,3382,121,33961,69,7627,230,59705,142
2020-10-21,23704,716,269846,1419,12550,364,159791,809,3395,121,34147,199,7679,231,59996,343
2020-10-22,23871,720,271517,1838,12645,364,160830,1134,3414,121,34326,198,7732,235,60376,433
2020-10-23,24030,724,273276,1918,12733,364,161834,1092,3426,121,34526,212,7791,239,60859,542
2020-10-24,24151,728,275022,1867,12801,367,163026,1260,3443,121,34718,209,7827,240,61138,315
2020-10-25,24352,735,277263,2442,12925,371,164524,1622,3466,121,34972,277,7881,243,61545,461
2020-10-26,24437,736,278159,981,12965,372,165014,530,3483,121,35133,178,7909,243,61762,245
2020-10-27,24573,736,279643,1620,13041,372,165924,986,3501,121,35276,161,7951,243,62085,365
2020-10-28,24733,740,280846,1363,13135,374,166646,816,3525,121,35382,130,7993,245,62325,282
2020-10-29,24927,748,282604,1952,13224,378,167709,1152,3558,122,35593,244,8065,248,62709,456
2020-10-3,21360,675,237415,1481,11108,338,137742,854,3165,119,30814,208,7009,218,54529,350
2020-10-30,25122,750,284426,2017,13336,378,168935,1338,3581,123,35765,195,8125,249,63067,418
2020-10-31,25310,754,285754,1516,13413,379,169596,738,3622,123,35995,271,8195,252,63429,432
2020-10-4,21517,676,239406,2148,11223,339,139004,1377,3174,119,31048,243,7041,218,54923,426
2020-10-5,21604,678,240248,929,11278,341,139525,576,3180,119,31164,122,7067,218,55076,179
2020-10-6,21737,678,241923,1808,11358,341,140715,1270,3194,119,31315,165,7106,218,55328,291
2020-10-7,21836,681,243540,1716,11427,343,141990,1344,3197,120,31373,61,7133,218,55539,238
2020-10-8,21993,683,245946,2563,11537,344,143865,1985,3204,120,31575,209,7173,219,55774,275
2020-10-9,22174,685,248708,2943,11654,345,145823,2075,3226,120,31919,366,7214,220,56112,379
2020-11-1,25496,757,287654,2086,13550,382,170962,1503,3630,123,36143,156,8236,252,63736,348
