date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests
2020-10-1,20961,669,215891,1689
2020-10-10,22210,686,231278,2356
2020-10-11,22372,691,234117,3001
2020-10-12,22475,692,235205,1191
2020-10-13,22545,694,236023,888
2020-10-14,22634,695,237361,1427
2020-10-15,22798,699,239223,2026
2020-10-16,23035,700,241778,2792
2020-10-17,23183,703,243971,2341
2020-10-18,23289,705,245318,1453
2020-10-19,23400,710,246620,1413
2020-10-2,21135,673,217494,1777
2020-10-20,23461,714,247202,643
2020-10-21,23603,716,248416,1356
2020-10-22,23767,720,249968,1716
2020-10-23,23925,724,251615,1805
2020-10-24,24044,728,253205,1709
2020-10-25,24244,735,255267,2262
2020-10-26,24330,736,256099,918
2020-10-27,24464,736,257456,1491
2020-10-28,24623,740,258574,1277
2020-10-29,24814,748,260184,1801
2020-10-3,21261,675,218752,1384
2020-10-30,25008,750,261867,1877
2020-10-31,25197,754,263088,1410
2020-10-4,21418,676,220570,1975
2020-10-5,21504,678,221352,868
2020-10-6,21639,678,222884,1667
2020-10-7,21740,681,224359,1576
2020-10-8,21897,683,226544,2342
2020-10-9,22078,685,229054,2691
2020-11-1,25383,757,264832,1930
2020-11-10,27393,779,276672,1329
2020-11-11,27592,782,277836,1363
2020-11-12,28054,784,280022,2648
2020-11-13,28431,788,281539,1894
2020-11-14,28836,789,283323,2189
2020-11-15,29236,793,285625,2702
2020-11-16,29599,797,287579,2317
2020-11-17,29822,800,288448,1092
2020-11-18,30216,803,290110,2056
2020-11-19,30861,806,293148,3683
2020-11-2,25484,759,265601,870
2020-11-20,31376,810,295866,3233
2020-11-21,31863,812,298477,3098
2020-11-22,32248,817,300271,2179
2020-11-23,32699,824,302795,2975
2020-11-24,33016,828,304648,2170
2020-11-25,33601,830,307456,3393
2020-11-26,34174,833,310108,3225
2020-11-27,34684,838,312389,2791
2020-11-28,35281,841,314687,2895
2020-11-29,35700,846,316072,1804
2020-11-3,25599,763,266360,874
2020-11-30,36383,850,318115,2726
2020-11-4,25819,764,267641,1501
2020-11-5,26110,766,269480,2130
2020-11-6,26328,768,271024,1762
2020-11-7,26644,771,272703,1995
2020-11-8,26949,772,274425,2027
2020-11-9,27151,774,275585,1362
2020-12-1,36750,857,319003,1255
2020-12-10,43907,917,338417,2951
2020-12-11,44992,922,341425,4093
2020-12-12,45606,929,343405,2594
2020-12-13,46634,943,346343,3966
2020-12-14,47333,950,348402,2758
2020-12-15,48169,959,350927,3361
2020-12-16,49029,972,353277,3210
2020-12-17,49383,980,354398,1475
2020-12-18,50427,988,357241,3887
2020-12-19,50922,1002,358780,2034
2020-12-2,37538,860,321153,2938
2020-12-20,51395,1017,360316,2009
2020-12-21,51980,1024,361876,2145
2020-12-22,52596,1033,363322,2062
2020-12-23,53398,1044,365918,3398
2020-12-24,54045,1054,368012,2741
2020-12-25,54868,1066,370491,3302
2020-12-26,55458,1077,372221,2320
2020-12-27,55934,1094,373494,1749
2020-12-28,56655,1105,375085,2312
2020-12-29,57067,1112,376341,1668
2020-12-3,38476,868,323361,3146
2020-12-30,57951,1121,378219,2762
2020-12-31,58575,1132,379495,1900
2020-12-4,39161,872,325141,2465
2020-12-5,39965,879,327353,3016
2020-12-6,40791,886,330030,3503
2020-12-7,41523,892,332089,2791
2020-12-8,42468,896,334362,3218
2020-12-9,43113,910,336260,2543
2020-3-10,19,0,17,4
2020-3-11,22,0,21,7
2020-3-12,22,0,31,10
2020-3-13,23,0,50,20
2020-3-14,23,0,66,16
2020-3-15,26,0,81,18
2020-3-16,27,0,98,18
2020-3-17,31,0,134,40
2020-3-18,42,0,186,63
2020-3-19,55,0,407,234
2020-3-20,64,0,488,90
2020-3-21,71,0,539,58
2020-3-22,84,0,562,36
2020-3-23,123,0,799,276
2020-3-24,155,1,1090,323
2020-3-25,173,2,1273,201
2020-3-26,196,3,1493,243
2020-3-27,234,5,1667,212
2020-3-28,282,9,1918,299
2020-3-29,328,10,2105,233
2020-3-30,363,11,2381,311
2020-3-31,433,12,2820,509
2020-3-8,19,0,9,0
2020-3-9,19,0,13,4
2020-4-1,470,13,3140,357
2020-4-10,1488,36,7025,593
2020-4-11,1624,44,7402,513
2020-4-12,1730,49,7726,430
2020-4-13,1875,54,8005,424
2020-4-14,2065,61,8323,508
2020-4-15,2127,68,8404,143
2020-4-16,2241,72,8639,349
2020-4-17,2521,78,9041,682
2020-4-18,2635,88,9315,388
2020-4-19,2831,92,9524,405
2020-4-2,503,16,3483,376
2020-4-20,3020,102,9832,497
2020-4-21,3295,107,10138,581
2020-4-22,3423,120,10320,310
2020-4-23,3565,134,10559,381
2020-4-24,3699,150,10714,289
2020-4-25,4153,158,11542,1282
2020-4-26,4284,171,11741,330
2020-4-27,4683,184,12650,1308
2020-4-28,4792,195,12952,411
2020-4-29,4830,207,13049,135
2020-4-3,674,17,4316,1004
2020-4-30,5024,213,13530,675
2020-4-4,734,17,4580,324
2020-4-5,803,19,4839,328
2020-4-6,898,24,5210,466
2020-4-7,1121,28,6046,1059
2020-4-8,1237,32,6332,402
2020-4-9,1336,34,6584,351
2020-5-1,5154,225,13818,418
2020-5-10,7115,318,22127,2960
2020-5-11,7232,329,22833,823
2020-5-12,7298,340,23270,503
2020-5-13,7360,356,23736,528
2020-5-14,7478,368,24645,1027
2020-5-15,7906,379,27227,3010
2020-5-16,8044,390,28188,1099
2020-5-17,8232,400,29681,1681
2020-5-18,8342,407,30565,994
2020-5-19,8419,418,30985,497
2020-5-2,5303,237,14125,456
2020-5-20,8520,427,31588,704
2020-5-21,8652,432,32420,964
2020-5-22,8761,437,33290,979
2020-5-23,8897,443,34209,1055
2020-5-24,9054,451,35740,1688
2020-5-25,9147,457,36509,862
2020-5-26,9182,467,36889,415
2020-5-27,9259,477,37961,1149
2020-5-28,9337,485,38486,603
2020-5-29,9495,492,39621,1293
2020-5-3,5605,249,15128,1305
2020-5-30,9563,496,40620,1067
2020-5-31,9690,499,42293,1800
2020-5-4,5820,259,15722,809
2020-5-5,5983,270,16062,503
2020-5-6,6172,273,16669,796
2020-5-7,6343,289,17408,910
2020-5-8,6509,302,18639,1397
2020-5-9,6635,306,19647,1134
2020-6-1,9749,502,43363,1129
2020-6-10,10240,536,51628,2438
2020-6-11,10297,538,53873,2302
2020-6-12,10357,540,55708,1895
2020-6-13,10399,543,56933,1267
