date_confirmed,delaware_cases,delaware_deaths,delaware_negative,delaware_tests,newcastle_cases,newcastle_deaths,newcastle_negative,newcastle_tests,kent_cases,kent_deaths,kent_negative,kent_tests,sussex_cases,sussex_deaths,sussex_negative,sussex_tests
2020-10-1,21065,669,236786,1855,10921,334,137319,1135,3138,119,30842,259,6927,216,54357,277
2020-10-10,22311,686,253887,2635,11741,346,149303,1977,3240,120,32576,234,7249,220,56924,347
2020-10-11,22473,691,257065,3340,11835,350,151781,2572,3259,120,32773,216,7298,221,57272,397
2020-10-12,22576,692,258285,1323,11894,351,152554,832,3270,120,32921,159,7331,221,57535,296
2020-10-13,22647,694,259175,961,11934,352,153049,535,3275,120,33051,135,7357,222,57744,235
2020-10-14,22737,695,260689,1604,11991,352,154083,1091,3288,120,33240,202,7377,223,57953,229
2020-10-15,22903,699,262757,2234,12096,356,155433,1455,3303,120,33422,197,7423,223,58309,402
2020-10-16,23140,700,265546,3026,12219,356,157035,1725,3340,120,33720,335,7500,224,59066,834
2020-10-17,23286,703,267955,2555,12312,359,158658,1716,3352,120,34012,304,7541,224,59429,404
2020-10-18,23392,705,269422,1573,12363,360,159536,929,3365,120,34169,170,7583,225,59788,401
2020-10-19,23506,710,270861,1553,12428,361,160408,937,3381,120,34361,208,7616,229,60106,351
2020-10-2,21239,673,238559,1947,11032,337,138418,1210,3152,119,31037,209,6976,217,54694,386
2020-10-20,23564,714,271506,703,12471,363,160831,466,3383,121,34428,69,7629,230,60237,144
2020-10-21,23705,716,272801,1436,12547,364,161575,820,3396,121,34617,202,7681,231,60530,345
2020-10-22,23872,720,274489,1855,12642,364,162627,1147,3415,121,34797,199,7734,235,60912,435
2020-10-23,24031,724,276267,1937,12730,364,163641,1102,3427,121,35000,215,7793,239,61400,547
2020-10-24,24153,728,278033,1888,12799,367,164841,1269,3444,121,35194,211,7829,240,61687,323
2020-10-25,24355,735,280306,2475,12924,371,166356,1640,3467,121,35455,284,7883,243,62101,468
2020-10-26,24441,736,281214,994,12965,372,166856,541,3484,121,35617,179,7911,243,62319,246
2020-10-27,24577,736,282713,1635,13041,372,167777,997,3502,121,35760,161,7953,243,62646,369
2020-10-28,24737,740,283933,1380,13135,374,168508,825,3526,121,35867,131,7995,245,62888,284
2020-10-29,24931,748,285708,1969,13224,378,169582,1163,3559,122,36081,247,8067,248,63275,459
2020-10-3,21364,675,239933,1499,11109,338,139205,864,3166,119,31238,215,7010,218,55011,351
2020-10-30,25126,750,287543,2030,13336,378,170816,1346,3582,123,36253,195,8127,249,63638,423
2020-10-31,25314,754,288886,1531,13413,379,171482,743,3623,123,36489,277,8197,252,64003,435
