date_confirmed,zip,cases,casesPer10k,deaths,deathsPer10k
2021-08-22,19701,4756,1200,40,8.9
2021-08-22,19702,6577,1189,53,14.6
2021-08-22,19703,1764,1210.3,18,11.4
2021-08-22,19706,NA,NA,NA,NA
2021-08-22,19707,1580,1121.9,45,15.7
2021-08-22,19709,5641,1397.1,53,14.8
2021-08-22,19711,6154,1045.8,66,10.7
2021-08-22,19713,3957,1337.9,67,16
2021-08-22,19716,NA,NA,NA,NA
2021-08-22,19717,227,325.5,0,0
2021-08-22,19720,8744,1480.9,93,14.9
2021-08-22,19730,NA,NA,NA,NA
2021-08-22,19731,NA,NA,NA,NA
2021-08-22,19732,NA,NA,NA,NA
2021-08-22,19733,NA,NA,NA,NA
2021-08-22,19734,1735,1473.7,14,16.6
2021-08-22,19736,NA,NA,NA,NA
2021-08-22,19801,2414,1421.7,23,23.9
2021-08-22,19802,3148,1248.1,38,12.7
2021-08-22,19803,2196,1156.4,77,16.1
2021-08-22,19804,2485,1452.2,32,13.6
2021-08-22,19805,5820,1550.7,80,24.8
2021-08-22,19806,1060,1094.4,40,23.1
2021-08-22,19807,751,1278.9,NA,NA
2021-08-22,19808,4377,1196.6,75,13.3
2021-08-22,19809,1376,927.6,28,16.8
2021-08-22,19810,2175,912.3,42,9
2021-08-22,19901,3916,1074.3,79,19.3
2021-08-22,19902,NA,NA,NA,NA
2021-08-22,19904,4292,1158.4,129,27.8
2021-08-22,19930,NA,NA,NA,NA
2021-08-22,19931,NA,NA,NA,NA
2021-08-22,19933,1186,1190.1,24,25.2
2021-08-22,19934,1328,1009.9,17,9
2021-08-22,19938,1061,1268.4,14,14.3
2021-08-22,19939,790,1193.2,NA,NA
2021-08-22,19940,760,1411.4,NA,NA
2021-08-22,19941,347,1360.9,NA,NA
2021-08-22,19943,1272,1010.5,17,11.3
2021-08-22,19944,NA,NA,NA,NA
2021-08-22,19945,932,1658.8,NA,NA
2021-08-22,19946,542,1115.4,NA,NA
2021-08-22,19947,3444,1833.7,52,24.9
2021-08-22,19950,869,1225.8,25,21.1
2021-08-22,19951,NA,NA,NA,NA
2021-08-22,19952,1065,1132,13,8.5
2021-08-22,19953,418,1008.3,NA,NA
2021-08-22,19954,NA,NA,NA,NA
2021-08-22,19956,2103,1466.5,31,18.7
2021-08-22,19958,2462,1195.6,81,13.5
2021-08-22,19960,909,1471.7,NA,NA
2021-08-22,19962,1406,1238.5,NA,NA
2021-08-22,19963,2539,1255.3,77,24.6
2021-08-22,19964,NA,NA,NA,NA
2021-08-22,19966,3462,1305.2,83,16.5
2021-08-22,19967,NA,NA,NA,NA
2021-08-22,19968,1110,1101.9,16,11.4
2021-08-22,19970,801,1183.2,NA,NA
2021-08-22,19971,1537,1639.7,32,9.3
2021-08-22,19973,3349,1385.4,72,20.6
2021-08-22,19975,1184,1526.6,13,5.5
2021-08-22,19977,3604,1415.9,72,25.5
2021-08-22,19979,NA,NA,NA,NA
